name,species
Rick Sanchez,Human
Morty Smith,Human
Summer Smith,Human
Beth Sanchez,Human
Jerry Smith Prime,Human
Mr. Goldenfold,Human
Jacob Philip,Human
Ethan,Human
Beth Smith,Clone
Clone Beth,Clone
Ruben,Human
Kevin,Alien
Prince Nebulon,Alien
Jessica,Human
Snuffles,Animal
Dr. Xenon Bloom,Other
Frank Palicky,Human
Principal Vagina,Human
Diane Sanchez,Human
Poncho,Human
Brad,Human
Leonard Smith,Human
Scary Terry,Alien
Annie,Human
Roger,Human
Dale,Alien
Morty Jr.,Human
Lucius Needful,Unknown
Ants in my Eyes Johnson,Human
Gwendolyn,Robot
King Jellybean,Other
Doofus Rick,Human
Doofus Rick,Human
Evil Rick Sanchez,Human
The Scientist Formerly Known as Rick,Human
Evil Morty,Human
King Flippy Nips,Alien
Scroopy Noopers,Alien
Scary Brandon,Alien
Lucy,Human
Nancy,Human
Birdperson,Human-Animal
Abrodolph Lincoler,Clone
Squanchy,Alien
Revolio Clockberg Jr.,Alien
Scary Melissa,Alien
Western Rick,Human
Cronenberg Rick,Alien
 Rick Prime (Cronenbergred dimension),Human
Cronenberg Morty,Alien
Morty Smith (Cronenberged Dimension),Human
Morty Smith (Cronenberged dimension),Human
Melissa,Other
Unnamed Son,Human
An unnamed daughter,Human
Uncle Steve,Unknown
Naruto,Unknown
Beth,Human
Joyce,Human
Davin,Human
Leonard,Human
Jacob,Human
Tammy Guterman,Human
Jerry Smith (C-500A),Human
Shleemypants,Alien
Albert Einstein,Human
Unity,Alien
Fart,Other
Joyce Smith,Human
Krombopulos Michael,Alien
Blim Blam,Alien
Beta-Seven,Alien
Mr. Poopybutthole,Alien
Tinkles,Alien
Reverse Giraffe,Alien
Mrs. Pancakes,Human
Centaur,Human-Animal
The Little Girl,Human
Sleepy Gary,Alien
Photography Raptor,Alien
Pencilvester,Alien
Hamurai,Alien
Amish Cyborg,Human
Rick Sanchez (C-132),Human
Ghost in a Jar,Alien
Frankenstein's Monster,Alien
Steven Smith,Human
Mrs. Refrigerator,Alien
Cousin Nicky,Alien
Mr. Beauregard,Alien
Baby Wizard,Alien
Water-T,Alien
The President,Human
General Nathan,Human
Hydrogen-F,Alien
Helium-Q,Alien
Morty Smith (C-132),Human
Kyle,Alien
Eric Stoltz Mask Morty,Human
Chris (The Ricks Must Be Crazy),Alien
The President of the Miniverse,Alien
Coach Feratu,Mythological
Toby Matthews,Human
Tiny Rick,Clone
Beth's Mytholog,Mythological
Cyclops Rick,Alien
Cyclops Morty,Mythological
Artist Morty,Human
Robot Morty,Robot
Robot Rick,Robot
Robot Rick,Robot
Long Sleeved Morty,Human
Alien Rick,Alien
Alien Rick,Alien
Rick Sanchez (C-131),Human
Morty Smith (C-131),Human
Stealy,Alien
Eyehole Man,Alien
Glaxo Slimslom,Alien
Arthricia,Alien
Lighthouse Keeper,Alien
Taddy Mason,Human
General Store Owner,Alien
Mr. Marklovitz,Human
Cynthia,Alien
Father Bob,Human
Alexander,Human
MC Haps,Human
Evil Beth Clone,Human
Evil Jerry Clone,Human
Evil Summer Clone,Human
Pat Guterman,Droid
Donna Guterman,Droid
Goddess Beth,Mythological
Vampire Master,Mythological
Paul Fleishman,Human
Shrimply Pibbles,Alien
Armagheadon,Alien
Brad Anderson,Human
Mar-Sha,Alien
Beth Sanchez (C-500A),Human
Scropon,Alien
Piece of Toast,Other
Dr. Glip-Glop,Alien
Trunk People,Alien
Tophat Jones,Human-Animal
Blue Shirt Morty,Human
Guilty Rick (Pocket Mortys),Human
Riq IV,Human
Johnny Depp,Human
Dandy Rick,Human
Jamey,Human
Purge Planet Ruler,Alien
Dreamy Rick (Pocket Mortys),Human
Bubble Gum Rick,Human
Mustache Rick,Human
Bobby Moynihan,Human
Kristen Stewart,Human
Rick Prime (Council of Ricks),Human
Rick Prime (Council of Ricks),Human
Quantum Rick,Human
Maximums Rickimus,Human
Zeta Alpha Rick,Human
Ricktiminus Sancheziminius,Human
Miami Rick (Pocket Mortys),Human
Junk Yard Rick,Human
Simon,Human
Unnamed Uncle,Human
Bald Rick,Human
Bald Rick,Human
Flat Top Rick,Human
Grateful Rick,Human
Super Fan Rick,Human
Happy Rick,Human
The Scientist Known as Rick,Human
Careless Rick,Human
Completionist Rick,Human
Mumbling Rick,Human
Zero Rick,Human
Bluu,Alien
Four Eyes Rick,Human
David Letterman,Human
Glenn (Rixty Minutes),Human
Shmlony Shmlicelli,Human
Mr. Sneezy,Human
Three Unknown Things,Alien
Two Guys with Handlebar Mustaches,Human
Man Painted Silver Who Makes Robot Noises,Human
Hole in the Wall Where the Men Can See it All,Other
Real Fake Doors Salesman,Human
Baby Legs,Human
Mrs. Sullivan,Human
Glenn,Alien
Stu,Alien
Gazorpazorpfield (Character),Alien
Jon,Human
Jan-Michael Vincent,Human
Insightful Rick,Human
Little Dipper,Other
Pickle Rick (character),Other
Flex Xando,Alien
The One True Morty,Mythological
Grace Smith,Human
Mr. Benson,Human
Hamsters In Butts,Animal
Summer (Morty Games),Human
Octopus Man,Human
Jerry Smith (C-132),Human
Jerry Smith,Human
Beth Smith Prime,Human
Steven Phillips,Alien
Ron Benson,Alien
Daron Jefferson,Alien
Todd Crystal,Alien
Karen Entity,Alien
Rick's Father,Human
Gar Gloonch,Alien
Zarbadar Gloonch,Alien
Benjamin,Alien
Cult Leader Morty,Human
Yellow Shirt Rick,Human
Rick Sanchez (Evil Rick's Target Dimension),Human
Morty Smith (Evil Rick's Target Dimension),Human
Jerry Smith (Evil Rick's Target Dimension),Human
Beth Smith (Evil Rick's Target Dimension),Human
Aqua Rick,Human-Animal
Aqua Rick,Mythological
Aqua Morty,Human-Animal
Antenna Rick,Alien
Randy Dicknose,Human
Michael McLick,Human
Dr. Schmidt,Human
Summer Smith (C-132),Human
Beth Smith (C-132),Human
Shibuya Rick,Human
Bearded Lady,Alien
Kl%E2%80%99iiik Mijupsrit,Alien
Kozbians,Alien
David Prime,Alien
Khlorgg,Alien
Jarshog Mollar,Alien
GlorpDieBlorp,Alien
Conroy,Robot
Rick Sanchez (D-99),Human
Galactic Federation President,Alien
Cornvelious Daniel,Alien
Dipper and Mabel Mortys,Human
Commander Rick,Human
Hookah Alien,Alien
Property Clones,Alien
Canklanker Thom,Alien
Pawnshop Clerk,Alien
Scary Glenn,Alien
Agent Gribbles,Alien
Afro Rick,Human
Greg,Alien
Lil B,Alien
Mr. Youseeks,Other
Doofus Jerry,Human
Buttmouth,Alien
Borpocians,Alien
McGlaargle,Alien
Catogami,Animal
Fleeblebox IV,Alien
Glarb,Alien
Krandor,Alien
Genius Morty,Human
Dumb Rick,Human
Summer Smith (304-X),Human
Jerry Smith (304-X),Human
Morty Smith (304-X),Human
Beth Smith (304-X),Human
Rick Sanchez (J19%CE%B17),Human
Verl,Alien
Fauntleroy,Human
Smumpians,Alien
Laarvians,Alien
Rurtaugh,Alien
Miggs,Alien
Robert,Human
Harold,Human
Cat Rick,Animal
Cat Morty,Animal
Cat Beth,Animal
Slow Jamz Rick,Human
Morty Smith (9-2184C),Human
Barbarica,Alien
Peacock Jones,Alien
Melody,Human
Sal,Human
Slime Aliens,Alien
Maa'lgamia Screnshun,Alien
Yaarb,Alien
Jim,Human
Terry,Human
Tom Randolph,Human
Eric McMahan,Human
Bill Galliams,Human
Old Reptile,Alien
Old Lady Thompson,Human
Veronica Ann Bennet,Alien
Jackie,Alien
Insurance Rick,Human
Visor Rick,Human
Wedding Bartender,Alien
Karvesshians,Alien
Samantha,Human
Gene,Human
Stickler Meeseeks,Other
Submarine Nazi,Human
Eli,Human
Hemorrhage,Human
Eli's Girlfriend,Human
Mechanical Rick,Robot
Mechanical Morty,Robot
Mechanical Summer,Robot
Colossus,Human
Lord Henderfinger,Human
Dr. Wong,Human
Rick Prime,Human
Blue Footprint Guy,Human
Jaguar,Human
Concerto,Unknown
Pavel Bartek,Human
Katarina,Human
Izzy,Animal
Vance Maximus,Human
Worldender,Unknown
Alan Rails,Human
Crocubot,Robot
Million Ants,Other
Tough Rat,Animal
Noob-Noob,Alien
Supernova,Other
Diablo Verde,Mythological
Logic,Human
Doom-Nomitron,Other
1950s Guy,Human
Michael Jenkins,Human
Bill (Dog),Animal
Death Stalkers,Human
Risotto Groupon,Alien
Tricia Lange,Human
Gibble Snake,Alien
Tusked Assassin,Alien
Risotto's Tentacled Henchman,Alien
Stacy,Human
Jacqueline,Human
Mitch,Human
Kelsey Shawsen,Human
Abadongian Princess,Alien
